interval,perturbation_density,recovery_beta,gamma,decay,structural_reachable,effective_reachable,accessible_fraction,effective_edges,structural_edges,edge_fraction,weighted_mean_path_cost,weighted_max_path_cost,weighted_efficiency,mean_r,min_r,mean_D,max_D,regime
25,0.04,0.048,0.132,0.016,144,128,0.8888888888888888,228,264,0.8636363636363636,12.3159118820247,52.28943723192125,0.10691400331757368,0.8981435116616754,0.0,0.10665957518373707,4.908866000448727,strained
25,0.04,0.054000000000000006,0.126,0.018000000000000002,144,128,0.8888888888888888,228,264,0.8636363636363636,12.027394317493172,48.868164198489886,0.10793340266684574,0.9070073270812092,0.0,0.09457356085740193,4.352623162379286,strained
25,0.04,0.06,0.12,0.02,144,135,0.9375,243,264,0.9204545454545454,11.894224582142767,47.46835480933699,0.10855787985376786,0.9136634462915154,0.0,0.08417582613959913,3.8740811622824185,healthy
30,0.03333333333333333,0.012,0.16799999999999998,0.004,144,128,0.8888888888888888,228,264,0.8636363636363636,13.137038597613433,64.18572833090185,0.10537542704412028,0.8888888888888888,0.0,0.25076312537203826,11.541041469409036,trapped
30,0.03333333333333333,0.018000000000000002,0.16199999999999998,0.006000000000000001,144,128,0.8888888888888888,228,264,0.8636363636363636,13.131322649604895,64.134284798825,0.10541004547446094,0.8888888888888888,0.0,0.22224284636791566,10.228433316925077,trapped
30,0.03333333333333333,0.024,0.156,0.008,144,128,0.8888888888888888,228,264,0.8636363636363636,13.126498355569483,64.0908661525063,0.10543964537826528,0.8888888888888888,0.0,0.19829974555306298,9.12648374200058,trapped
30,0.03333333333333333,0.030000000000000002,0.15,0.01,144,128,0.8888888888888888,228,264,0.8636363636363636,13.122410331222902,64.05407393338706,0.10546500716136811,0.8888888888888888,0.0,0.17810193811268812,8.196906345345202,trapped
30,0.03333333333333333,0.036000000000000004,0.144,0.012000000000000002,144,128,0.8888888888888888,228,264,0.8636363636363636,13.11893124751361,64.02276218000344,0.10548679662242902,0.8888888888888888,0.0,0.16097820482683256,7.408809149356133,fragile
30,0.03333333333333333,0.041999999999999996,0.138,0.013999999999999999,144,128,0.8888888888888888,228,264,0.8636363636363636,13.049828853055333,62.950670188785644,0.1055711338646871,0.8893169675797314,0.0,0.14638584623194073,6.73721512838405,fragile
30,0.03333333333333333,0.048,0.132,0.016,144,128,0.8888888888888888,228,264,0.8636363636363636,12.2925115364938,51.907535138330886,0.1069648404201095,0.8996977419096063,0.0,0.13388510871614784,6.161885203563888,strained
30,0.03333333333333333,0.054000000000000006,0.126,0.018000000000000002,144,128,0.8888888888888888,228,264,0.8636363636363636,12.054957905278766,49.14278620430196,0.10781278130412127,0.9074261110856939,0.0,0.12311882103180907,5.666381040213736,strained
30,0.03333333333333333,0.06,0.12,0.02,144,135,0.9375,243,264,0.9204545454545454,11.934400173689456,47.87186184766219,0.10835662678876694,0.9132786733017938,0.0,0.11379616401576939,5.237318070658051,healthy
